,View,Url,Address,Neighbourhood,Price,Beds,Baths,Sqft,BuiltIn,PullDate,City,SqftDollar,Days on Site,Lot Size,Size,Style,Taxes,Type,Walk Score,Year Built,Preference
0,mountain and water,https://www.zolo.ca/surrey-real-estate/12121-101a-avenue,"12121 101a Avenue, Surrey, BC",Cedar Hills,1500000.0,7 bed,8 bath,5251 sqft,2013,2020-03-31,Surrey,285.6598743096553,"139 (Nov 12, 2019)",6974 sqft,5251 sqft,2 Storey w/Bsmt.,"$6,308 /yr",House/Single Family,31,2013,y
1,partial mountain view,https://www.zolo.ca/surrey-real-estate/10032-174a-street,"10032 174a Street, Surrey, BC",Fraser Heights,1599888.0,11 bed,10 bath,5590 sqft,2020,2020-03-31,Surrey,286.205366726297,"8 (Mar 23, 2020)",9213 sqft,5590 sqft,2 Storey w/Bsmt.,"$3,596 /yr",House/Single Family,4,2020,y
2,"mountain, city river",https://www.zolo.ca/surrey-real-estate/12129-100-avenue,"12129 100 Avenue, Surrey, BC",Cedar Hills,1249000.0,4 bed,3 bath,4357 sqft,9999,2020-03-31,Surrey,286.6651365618545,"20 (Mar 11, 2020)",18430 sqft,4357 sqft,2 Storey,"$4,004 /yr",House/Single Family,22,9999,y
3,partial mountain and greenbelt,https://www.zolo.ca/surrey-real-estate/10024-174a-street,"10024 174a Street, Surrey, BC",Fraser Heights,1568000.0,9 bed,7 bath,5294 sqft,2019,2020-03-31,Surrey,296.18435965243674,"127 (Nov 25, 2019)",6645 sqft,5294 sqft,Reverse 2 Storey w/Bsmt,"$3,651 /yr",House/Single Family,10,2019,yy
4,mountain baker from upstairs,https://www.zolo.ca/surrey-real-estate/10048-174-street,"10048 174 Street, Surrey, BC",Fraser Heights,1568000.0,9 bed,8 bath,5213 sqft,2019,2020-03-31,Surrey,300.786495300211,"180 (Oct 3, 2019)",6223 sqft,5213 sqft,2 Storey w/Bsmt.,"$3,558 /yr",House/Single Family,28,2019,yy
5,mountains/newwest/fraser river,https://www.zolo.ca/surrey-real-estate/12295-99-avenue,"12295 99 Avenue, Surrey, BC",Cedar Hills,1869888.0,10 bed,9 bath,5641 sqft,2019,2020-03-31,Surrey,331.48165218932814,"27 (Mar 4, 2020)",6254 sqft,5641 sqft,2 Storey w/Bsmt.,"$7,160 /yr",House/Single Family,37,2019,y
6,no,https://www.zolo.ca/delta-real-estate/8073-114-street,"8073 114 Street, Delta, BC",Scottsdale,1699900.0,7 bed,7 bath,5006 sqft,2017,2020-03-31,Delta,339.57251298441867,"125 (Nov 27, 2019)",6354 sqft,5006 sqft,2 Storey w/Bsmt.,"$4,993 /yr",House/Single Family,52,2017,yy
7,mountains &amp; valley,https://www.zolo.ca/surrey-real-estate/14910-35a-avenue,"14910 35a Avenue, Surrey, BC",Morgan Creek,1524900.0,6 bed,7 bath,4458 sqft,2020,2020-03-31,Surrey,342.05921938088835,"76 (Jan 14, 2020)",4277 sqft,4458 sqft,"2 Storey w/Bsmt., 3 Storey","$4,531 /yr",House/Single Family,22,2020,y
8,"mountain, woods/green belt",https://www.zolo.ca/surrey-real-estate/9717-182-street,"9717 182 Street, Surrey, BC",Fraser Heights,1388800.0,6 bed,7 bath,4056 sqft,2020,2020-03-31,Surrey,342.4063116370809,"84 (Jan 6, 2020)",5669 sqft,4056 sqft,2 Storey w/Bsmt.,"$2,629 /yr",House/Single Family,1,2020,y
9,south view of water,https://www.zolo.ca/surrey-real-estate/13429-56-avenue,"13429 56 Avenue, Surrey, BC",Panorama Ridge,2899800.0,7 bed,8 bath,8435 sqft,2017,2020-03-31,Surrey,343.78186129223474,"32 (Feb 28, 2020)",22302 sqft,8435 sqft,"2 Storey w/Bsmt., 3 Storey","$7,705 /yr",House/Single Family,9,2017,y
10,peek a boo,https://www.zolo.ca/white-rock-real-estate/1580-chestnut-street,"1580 Chestnut Street, White Rock, BC",White Rock,1888000.0,7 bed,8 bath,5490 sqft,2018,2020-03-31,White Rock,343.8979963570128,"82 (Jan 9, 2020)",8198 sqft,5490 sqft,2 Storey w/Bsmt.,"$7,298 /yr",House/Single Family,55,2018,n
11,ravin,https://www.zolo.ca/surrey-real-estate/3103-160-street/15,"15-3103 160 Street, Surrey, BC",Morgan Creek,1138000.0,4 bed,4 bath,3297 sqft,2015,2020-03-31,Surrey,345.16226872914774,"102 (Dec 20, 2019)",No Data,3297 sqft,2 Storey w/Bsmt.,"$3,717 /yr",Townhouse,29,2015,n
12,mountains,https://www.zolo.ca/surrey-real-estate/9727-182a-street,"9727 182a Street, Surrey, BC",Fraser Heights,1273000.0,6 bed,6 bath,3608 sqft,2020,2020-03-31,Surrey,352.8270509977827,"46 (Feb 14, 2020)",4191 sqft,3608 sqft,2 Storey w/Bsmt.,"$2,376 /yr",House/Single Family,1,2020,y
13,mountain view,https://www.zolo.ca/surrey-real-estate/12707-104a-avenue,"12707 104a Avenue, Surrey, BC",Cedar Hills,1429000.0,7 bed,7 bath,4027 sqft,2019,2020-03-31,Surrey,354.8547305686615,"27 (Mar 3, 2020)",4612 sqft,4027 sqft,2 Storey w/Bsmt.,"$4,080 /yr",House/Single Family,44,2019,yy
14,mt. baker/peek-a-boo ocean,https://www.zolo.ca/white-rock-real-estate/15832-prospect-crescent,"15832 Prospect Crescent, White Rock, BC",White Rock,2088000.0,6 bed,6 bath,5801 sqft,2017,2020-03-31,White Rock,359.9379417341837,"11 (Mar 19, 2020)",6600 sqft,5801 sqft,3 Storey,"$7,000 /yr",House/Single Family,52,2017,yy
15,from living room and m.bedroom,https://www.zolo.ca/surrey-real-estate/14918-35a-avenue,"14918 35a Avenue, Surrey, BC",Morgan Creek,1593024.0,6 bed,7 bath,4306 sqft,2020,2020-03-31,Surrey,369.95448211797486,"13 (Mar 17, 2020)",4691 sqft,4306 sqft,"2 Storey w/Bsmt., 3 Storey","$4,582 /yr",House/Single Family,22,2020,n
16,nickomekl river,https://www.zolo.ca/surrey-real-estate/14896-35a-avenue,"14896 35a Avenue, Surrey, BC",Morgan Creek,1498000.0,6 bed,6 bath,4004 sqft,2020,2020-03-31,Surrey,374.1258741258741,"69 (Jan 21, 2020)",3588 sqft,4004 sqft,2 Storey w/Bsmt.,"$2,699 /yr",House/Single Family,22,2020,yy
17,greenbelt,https://www.zolo.ca/delta-real-estate/11101-64a-avenue,"11101 64a Avenue, Delta, BC",Sunshine Hills Woods,2088000.0,8 bed,9 bath,5575 sqft,2016,2020-03-31,Delta,374.52914798206285,"53 (Feb 7, 2020)",9672 sqft,5575 sqft,2 Storey w/Bsmt.,"$6,123 /yr",House/Single Family,10,2016,n
18,fraser river/city/mountains,https://www.zolo.ca/delta-real-estate/8841-stegavik-court,"8841 Stegavik Court, Delta, BC",Nordel,1499000.0,5 bed,6 bath,4002 sqft,2015,2020-03-31,Delta,374.56271864067963,"281 (Jun 23, 2019)",5080.56 sqft,4002 sqft,3 Storey w/Bsmt,"$4,685 /yr",House/Single Family,19,2015,yy
19,city &amp; mountain view,https://www.zolo.ca/white-rock-real-estate/16688-19th-avenue,"16688 19th Avenue, White Rock, BC",,1498000.0,6 bed,6 bath,3974 sqft,2020,2020-03-31,White Rock,376.9501761449421,"35 (Feb 24, 2020)",3938 sqft,3974 sqft,2 Storey w/Bsmt.,"$2,028 /yr",House/Single Family,41,2020,y
20,peek a boo ocean,https://www.zolo.ca/white-rock-real-estate/1554-bergstrom-road,"1554 Bergstrom Road, White Rock, BC",White Rock,2488000.0,6 bed,7 bath,6571 sqft,2018,2020-03-31,White Rock,378.63338913407404,"158 (Oct 24, 2019)",8826 sqft,6571 sqft,2 Storey w/Bsmt.,"$8,557 /yr",House/Single Family,53,2018,yy
21,nicomekl river and mountains,https://www.zolo.ca/surrey-real-estate/14879-35a-avenue,"14879 35a Avenue, Surrey, BC",Morgan Creek,1538000.0,6 bed,6 bath,4002 sqft,2019,2020-03-31,Surrey,384.3078460769616,"117 (Dec 5, 2019)",4228 sqft,4002 sqft,2 Storey w/Bsmt.,"$3,615 /yr",House/Single Family,22,2019,yy
22,mountains,https://www.zolo.ca/surrey-real-estate/9880-huckleberry-drive,"9880 Huckleberry Drive, Surrey, BC",Fraser Heights,1299000.0,6 bed,6 bath,3303 sqft,2019,2020-03-31,Surrey,393.2788374205268,"193 (Sep 20, 2019)",3683 sqft,3303 sqft,2 Storey w/Bsmt.,"$2,895 /yr",House/Single Family,6,2019,yyy
23,"mountains, blueberry fields",https://www.zolo.ca/surrey-real-estate/14926-35a-avenue,"14926 35a Avenue, Surrey, BC",Morgan Creek,1649000.0,7 bed,6 bath,4180 sqft,2017,2020-03-31,Surrey,394.4976076555024,"34 (Feb 25, 2020)",5178 sqft,4180 sqft,2 Storey w/Bsmt.,"$5,067 /yr",House/Single Family,22,2017,y
24,peek-a-boo ocean &amp; mt.baker,https://www.zolo.ca/white-rock-real-estate/15711-roper-avenue,"15711 Roper Avenue, White Rock, BC",White Rock,1998000.0,7 bed,8 bath,5047 sqft,2017,2020-03-31,White Rock,395.8787398454528,"17 (Mar 13, 2020)",7292 sqft,5047 sqft,Reverse 2 Storey w/Bsmt,"$8,369 /yr",House/Single Family,54,2017,y
25,n. shore mountains from master,https://www.zolo.ca/delta-real-estate/5483-15b-avenue,"5483 15b Avenue, Delta, BC",Cliff Drive,1999999.0,6 bed,5 bath,5043 sqft,2020,2020-03-31,Delta,396.58913345231,"13 (Mar 18, 2020)",7875 sqft,5043 sqft,2 Storey w/Bsmt.,"$3,963 /yr",House/Single Family,60,2020,y
26,front view,https://www.zolo.ca/surrey-real-estate/3592-149a-street,"3592 149a Street, Surrey, BC",Morgan Creek,1449000.0,5 bed,5 bath,3516 sqft,2019,2020-03-31,Surrey,412.11604095563143,"118 (Dec 4, 2019)",4344 sqft,3516 sqft,"2 Storey w/Bsmt., 3 Storey","$3,660 /yr",House/Single Family,42,2019,yy
27,mountains and river,https://www.zolo.ca/surrey-real-estate/14899-35a-avenue,"14899 35a Avenue, Surrey, BC",Morgan Creek,1489900.0,5 bed,6 bath,3612 sqft,2019,2020-03-31,Surrey,412.4861572535991,"34 (Feb 26, 2020)",3461 sqft,3612 sqft,2 Storey w/Bsmt.,"$4,004 /yr",House/Single Family,22,2019,yy
28,expansive valley &amp; mtn views,https://www.zolo.ca/surrey-real-estate/14885-35a-avenue,"14885 35a Avenue, Surrey, BC",Morgan Creek,1498000.0,5 bed,5 bath,3623 sqft,2019,2020-03-31,Surrey,413.4695004140215,"14 (Mar 17, 2020)",3703 sqft,3623 sqft,2 Storey w/Bsmt.,"$3,921 /yr",House/Single Family,22,2019,n
29,mountains &amp; river,https://www.zolo.ca/surrey-real-estate/3578-149a-street,"3578 149a Street, Surrey, BC",Morgan Creek,1454888.0,5 bed,5 bath,3470 sqft,2019,2020-03-31,Surrey,419.2760806916427,"53 (Feb 6, 2020)",3875 sqft,3470 sqft,2 Storey w/Bsmt.,"$3,641 /yr",House/Single Family,42,2019,y
30,ocean,https://www.zolo.ca/white-rock-real-estate/14411-mann-park-crescent,"14411 Mann Park Crescent, White Rock, BC",White Rock,3499999.0,7 bed,10 bath,8343 sqft,2019,2020-03-31,White Rock,419.513244636222,"77 (Jan 14, 2020)",10800 sqft,8343 sqft,2 Storey w/Bsmt.,"$12,159 /yr",House/Single Family,41,2019,yy
31,front view,https://www.zolo.ca/surrey-real-estate/3588-149a-street,"3588 149a Street, Surrey, BC",Morgan Creek,1449000.0,5 bed,5 bath,3454 sqft,2019,2020-03-31,Surrey,419.51360741169657,"118 (Dec 4, 2019)",3901 sqft,3454 sqft,"2 Storey w/Bsmt., 3 Storey","$2,400 /yr",House/Single Family,42,2019,yy
32,mount baker,https://www.zolo.ca/surrey-real-estate/1892-king-george-boulevard,"1892 King George Boulevard, Surrey, BC",King George Corridor,1375000.0,6 bed,5 bath,3237 sqft,2016,2020-03-31,Surrey,424.77602718566567,"161 (Oct 21, 2019)",6900 sqft,3237 sqft,2 Storey,"$4,906 /yr",House/Single Family,49,2016,n
33,mountain view,https://www.zolo.ca/white-rock-real-estate/15920-vine-avenue,"15920 Vine Avenue, White Rock, BC",White Rock,1699900.0,6 bed,5 bath,3994 sqft,2018,2020-03-31,White Rock,425.6134201301952,"137 (Nov 15, 2019)",4954 sqft,3994 sqft,2 Storey w/Bsmt.,"$6,214 /yr",House/Single Family,51,2018,yy
34,nicomekl river,https://www.zolo.ca/surrey-real-estate/14907-35a-avenue,"14907 35a Avenue, Surrey, BC",Morgan Creek,1478000.0,4 bed,6 bath,3460 sqft,2019,2020-03-31,Surrey,427.1676300578035,"80 (Jan 10, 2020)",3453 sqft,3460 sqft,2 Storey w/Bsmt.,"$3,493 /yr",House/Single Family,22,2019,n
35,peak-a-boo ocean view,https://www.zolo.ca/surrey-real-estate/1959-128-street,"1959 128 Street, Surrey, BC",Crescent Bch Ocean Pk.,2295900.0,6 bed,6 bath,5340 sqft,2017,2020-03-31,Surrey,429.94382022471916,"40 (Feb 20, 2020)",7400 sqft,5340 sqft,2 Storey w/Bsmt.,No Data,House/Single Family,40,2017,n
36,upper: sunset and partial ocea,https://www.zolo.ca/surrey-real-estate/16053-8a-avenue,"16053 8a Avenue, Surrey, BC",King George Corridor,1848000.0,6 bed,5 bath,4270 sqft,2020,2020-03-31,Surrey,432.7868852459017,"46 (Feb 13, 2020)",4936 sqft,4270 sqft,2 Storey w/Bsmt.,"$3,591 /yr",House/Single Family,33,2020,y
37,peek-a-boo ocean view upstairs,https://www.zolo.ca/white-rock-real-estate/15440-roper-avenue,"15440 Roper Avenue, White Rock, BC",White Rock,2188000.0,6 bed,6 bath,5008 sqft,2019,2020-03-31,White Rock,436.9009584664537,"67 (Jan 23, 2020)",6000 sqft,5008 sqft,2 Storey w/Bsmt.,"$5,428 /yr",House/Single Family,81,2019,y
38,ocean view on 2nd floor,https://www.zolo.ca/surrey-real-estate/13247-15a-avenue,"13247 15a Avenue, Surrey, BC",Crescent Bch Ocean Pk.,2688000.0,5 bed,7 bath,6116 sqft,2018,2020-03-31,Surrey,439.5029431000654,"28 (Mar 3, 2020)",10108 sqft,6116 sqft,2 Storey w/Bsmt.,"$8,110 /yr",House/Single Family,45,2018,y
39,ocean view from top floor,https://www.zolo.ca/white-rock-real-estate/15823-buena-vista-avenue,"15823 Buena Vista Avenue, White Rock, BC",White Rock,2598000.0,5 bed,8 bath,5834 sqft,2018,2020-03-31,White Rock,445.3205347960233,"20 (Mar 11, 2020)",7200 sqft,5834 sqft,3 Storey,"$8,675 /yr",House/Single Family,52,2018,yyy
40,"mountain, trees",https://www.zolo.ca/delta-real-estate/10961-westview-place,"10961 Westview Place, Delta, BC",Sunshine Hills Woods,1850000.0,5 bed,6 bath,4055 sqft,2019,2020-03-31,Delta,456.22688039457466,"15 (Mar 16, 2020)",6781 sqft,4055 sqft,2 Storey,"$6,422 /yr",House/Single Family,18,2019,y
41,west beach ocean views,https://www.zolo.ca/white-rock-real-estate/1560-brearley-street,"1560 Brearley Street, White Rock, BC",White Rock,2798800.0,7 bed,8 bath,6072 sqft,2018,2020-03-31,White Rock,460.935441370224,"35 (Feb 25, 2020)",7980 sqft,6072 sqft,2 Storey w/Bsmt.,"$10,088 /yr",House/Single Family,39,2018,n
42,ocean from rooftop deck,https://www.zolo.ca/white-rock-real-estate/1588-kerfoot-road,"1588 Kerfoot Road, White Rock, BC",White Rock,2375000.0,8 bed,6 bath,5144 sqft,2018,2020-03-31,White Rock,461.70295489891134,"166 (Oct 17, 2019)",6859.4 sqft,5144 sqft,2 Storey w/Bsmt.,"$8,082 /yr",House/Single Family,41,2018,n
43,peak-a-boo ocean upper balcony,https://www.zolo.ca/surrey-real-estate/12753-15-avenue,"12753 15 Avenue, Surrey, BC",Crescent Bch Ocean Pk.,1699900.0,5 bed,4 bath,3570 sqft,2013,2020-03-31,Surrey,476.16246498599435,"172 (Oct 10, 2019)",5000 sqft,3570 sqft,2 Storey w/Bsmt.,"$5,117 /yr",House/Single Family,54,2013,
44,golf courses and green belt,https://www.zolo.ca/surrey-real-estate/3378-164-street,"3378 164 Street, Surrey, BC",Morgan Creek,3480000.0,6 bed,7 bath,7280 sqft,2018,2020-03-31,Surrey,478.0219780219781,"215 (Aug 29, 2019)",14133 sqft,7280 sqft,2 Storey w/Bsmt.,"$8,995 /yr",House/Single Family,2,2018,
45,pacific ocean - semiahmoo bay,https://www.zolo.ca/white-rock-real-estate/1166-keil-crescent,"1166 Keil Crescent, White Rock, BC",White Rock,2380000.0,5 bed,8 bath,4951 sqft,2016,2020-03-31,White Rock,480.7109674813169,"116 (Dec 5, 2019)",5606 sqft,4951 sqft,2 Storey w/Bsmt.,"$7,598 /yr",House/Single Family,50,2016,
46,peak-a-boo ocean view,https://www.zolo.ca/white-rock-real-estate/14465-saturna-drive,"14465 Saturna Drive, White Rock, BC",White Rock,2498000.0,6 bed,6 bath,5194 sqft,2015,2020-03-31,White Rock,480.9395456295726,"185 (Sep 27, 2019)",8400 sqft,5194 sqft,2 Storey w/Bsmt.,"$8,881 /yr",House/Single Family,47,2015,
47,peek-a-boo mountain view,https://www.zolo.ca/surrey-real-estate/16355-108-avenue,"16355 108 Avenue, Surrey, BC",Fraser Heights,1549000.0,4 bed,6 bath,3200 sqft,2019,2020-03-31,Surrey,484.0625,"13 (Mar 17, 2020)",6088 sqft,3200 sqft,2 Storey,"$4,298 /yr",House/Single Family,43,2019,
48,partial ocean view,https://www.zolo.ca/surrey-real-estate/14195-wheatley-avenue,"14195 Wheatley Avenue, Surrey, BC",White Rock,2998800.0,7 bed,9 bath,6139 sqft,2017,2020-03-31,Surrey,488.4834663625997,"73 (Jan 17, 2020)",8856 sqft,6139 sqft,3 Storey,"$9,228 /yr",House/Single Family,35,2017,
49,full ocean view,https://www.zolo.ca/white-rock-real-estate/14262-malabar-avenue,"14262 Malabar Avenue, White Rock, BC",White Rock,3580000.0,5 bed,7 bath,7151 sqft,2019,2020-03-31,White Rock,500.6292826178157,"140 (Nov 12, 2019)",8704 sqft,7151 sqft,3 Storey w/Bsmt,"$8,790 /yr",House/Single Family,39,2019,
50,ocean,https://www.zolo.ca/white-rock-real-estate/15587-columbia-avenue,"15587 Columbia Avenue, White Rock, BC",White Rock,2188000.0,7 bed,6 bath,4248 sqft,2016,2020-03-31,White Rock,515.0659133709981,"27 (Mar 4, 2020)",3941 sqft,4248 sqft,3 Storey,"$7,905 /yr",House/Single Family,34,2016,
51,ocean &amp; mountain,https://www.zolo.ca/white-rock-real-estate/1156-habgood-street,"1156 Habgood Street, White Rock, BC",White Rock,3199000.0,6 bed,8 bath,6208 sqft,2019,2020-03-31,White Rock,515.3028350515464,"119 (Dec 3, 2019)",9360 sqft,6208 sqft,2 Storey w/Bsmt.,"$7,894 /yr",House/Single Family,52,2019,
52,ocean view,https://www.zolo.ca/white-rock-real-estate/14407-blackburn-crescent,"14407 Blackburn Crescent, White Rock, BC",White Rock,2298000.0,5 bed,5 bath,4357 sqft,2011,2020-03-31,White Rock,527.4271287583199,"292 (Jun 12, 2019)",8940 sqft,4357 sqft,2 Storey,"$11,657 /yr",House/Single Family,44,2011,
53,partial ocean view,https://www.zolo.ca/white-rock-real-estate/13859-blackburn-avenue,"13859 Blackburn Avenue, White Rock, BC",White Rock,2978000.0,8 bed,7 bath,5596 sqft,2019,2020-03-31,White Rock,532.1658327376698,"5 (Mar 26, 2020)",8198 sqft,5596 sqft,2 Storey w/Bsmt.,"$5,804 /yr",House/Single Family,31,2019,
54,oceanview,https://www.zolo.ca/white-rock-real-estate/14459-mann-park-crescent,"14459 Mann Park Crescent, White Rock, BC",White Rock,3388000.0,6 bed,7 bath,6350 sqft,2019,2020-03-31,White Rock,533.5433070866142,"87 (Jan 3, 2020)",9960 sqft,6350 sqft,2 Storey w/Bsmt.,"$8,307 /yr",House/Single Family,41,2019,
55,white rock ocean,https://www.zolo.ca/surrey-real-estate/13158-57-avenue,"13158 57 Avenue, Surrey, BC",Panorama Ridge,4200079.0,9 bed,9 bath,7641 sqft,2019,2020-03-31,Surrey,549.6766130087684,"111 (Dec 11, 2019)",20995 sqft,7641 sqft,"2 Storey w/Bsmt., 3 Storey","$6,037 /yr",House/Single Family,8,2019,
56,ocean &amp; mt. baker,https://www.zolo.ca/white-rock-real-estate/1251-kent-street,"1251 Kent Street, White Rock, BC",White Rock,2388000.0,4 bed,5 bath,4286 sqft,2020,2020-03-31,White Rock,557.1628558096127,"34 (Feb 25, 2020)",6270 sqft,4286 sqft,2 Storey w/Bsmt.,"$7,630 /yr",House/Single Family,54,2020,
57,panoramic ocean views,https://www.zolo.ca/white-rock-real-estate/15767-pacific-avenue,"15767 Pacific Avenue, White Rock, BC",White Rock,3649900.0,8 bed,8 bath,6386 sqft,2014,2020-03-31,White Rock,571.5471343564046,"242 (Aug 1, 2019)",9243 sqft,6386 sqft,"2 Storey w/Bsmt., 3 Storey","$11,702 /yr",House/Single Family,58,2014,
58,beautiful panoramic ocean view,https://www.zolo.ca/white-rock-real-estate/15031-victoria-avenue,"15031 Victoria Avenue, White Rock, BC",White Rock,3488000.0,5 bed,7 bath,6079 sqft,2016,2020-03-31,White Rock,573.778582003619,"15 (Mar 16, 2020)",4410 sqft,6079 sqft,3 Storey,"$12,358 /yr",House/Single Family,86,2016,
59,ocean,https://www.zolo.ca/white-rock-real-estate/14093-marine-drive,"14093 Marine Drive, White Rock, BC",White Rock,3980000.0,6 bed,8 bath,6922 sqft,2018,2020-03-31,White Rock,574.9783299624387,"112 (Dec 9, 2019)",8378 sqft,6922 sqft,2 Storey w/Bsmt.,"$11,921 /yr",House/Single Family,41,2018,
60,ocean,https://www.zolo.ca/surrey-real-estate/13529-14-avenue,"13529 14 Avenue, Surrey, BC",Crescent Bch Ocean Pk.,2380000.0,4 bed,5 bath,4136 sqft,2015,2020-03-31,Surrey,575.4352030947775,"11 (Mar 19, 2020)",9938 sqft,4136 sqft,2 Storey,"$7,360 /yr",House/Single Family,44,2015,
61,diefenbaker park,https://www.zolo.ca/delta-real-estate/5393-1a-avenue,"5393 1a Avenue, Delta, BC",Pebble Hill,3388800.0,5 bed,7 bath,5810 sqft,2019,2020-03-31,Delta,583.2702237521514,"194 (Sep 19, 2019)",12345 sqft,5810 sqft,3 Storey,"$6,074 /yr",House/Single Family,17,2019,
62,full ocean view and mt baker,https://www.zolo.ca/white-rock-real-estate/15368-victoria-avenue,"15368 Victoria Avenue, White Rock, BC",White Rock,2700000.0,4 bed,6 bath,4629 sqft,2016,2020-03-31,White Rock,583.2793259883343,"154 (Oct 29, 2019)",3000 sqft,4629 sqft,3 Storey w/Bsmt,"$9,499 /yr",House/Single Family,68,2016,
63,boundary bay and n.shore mtns,https://www.zolo.ca/delta-real-estate/353-55-street,"353 55 Street, Delta, BC",Pebble Hill,3588000.0,7 bed,6 bath,6061 sqft,2019,2020-03-31,Delta,591.981521201122,"78 (Jan 13, 2020)",10720 sqft,6061 sqft,3 Storey,"$7,771 /yr",House/Single Family,19,2019,
64,mountain,https://www.zolo.ca/richmond-real-estate/11200-westminster-highway,"11200 Westminster Highway, Richmond, BC",McLennan,3580000.0,7 bed,7 bath,6020 sqft,2018,2020-03-31,Richmond,594.6843853820598,"77 (Jan 14, 2020)",37719 sqft,6020 sqft,2 Storey,"$7,536 /yr",House/Single Family,6,2018,
65,north mountain,https://www.zolo.ca/richmond-real-estate/10640-gilmore-crescent,"10640 Gilmore Crescent, Richmond, BC",Bridgeport RI,2298000.0,6 bed,7 bath,3800 sqft,2019,2020-03-31,Richmond,604.7368421052631,"87 (Jan 3, 2020)",8512 sqft,3800 sqft,2 Storey w/Bsmt.,"$4,805 /yr",House/Single Family,54,2019,
66,ocean view,https://www.zolo.ca/surrey-real-estate/13555-13a-avenue,"13555 13a Avenue, Surrey, BC",Crescent Bch Ocean Pk.,3160000.0,9 bed,9 bath,5212 sqft,2014,2020-03-31,Surrey,606.2931696085957,"32 (Feb 27, 2020)",9499 sqft,5212 sqft,2 Storey w/Bsmt.,"$12,325 /yr",House/Single Family,10,2014,
67,mountain &amp; city,https://www.zolo.ca/vancouver-real-estate/6526-dawson-street,"6526 Dawson Street, Vancouver, BC",Killarney VE,2868000.0,9 bed,7 bath,4704 sqft,2013,2020-03-31,Vancouver,609.6938775510204,"39 (Feb 21, 2020)",5640 sqft,4704 sqft,"2 Storey w/Bsmt., Laneway House","$7,923 /yr",House/Single Family,65,2013,
68,south from master bedroom,https://www.zolo.ca/vancouver-real-estate/496-east-56th-avenue,"496 56th Avenue E, Vancouver, BC",South Vancouver,2899990.0,6 bed,8 bath,4545 sqft,2017,2020-03-31,Vancouver,638.0616061606162,"27 (Mar 3, 2020)",5338.2 sqft,4545 sqft,3 Storey,"$7,623 /yr",House/Single Family,66,2017,
69,panoramic unobstructed ocean,https://www.zolo.ca/white-rock-real-estate/14283-marine-drive,"14283 Marine Drive, White Rock, BC",White Rock,4388000.0,6 bed,6 bath,6859 sqft,2016,2020-03-31,White Rock,639.7434028284007,"34 (Feb 25, 2020)",9000 sqft,6859 sqft,2 Storey w/Bsmt.,"$14,134 /yr",House/Single Family,32,2016,
