,View,Url,Address,Neighbourhood,Price,Beds,Baths,Sqft,BuiltIn,PullDate,City,SqftDollar,Days on Site,Lot Size,Size,Style,Taxes,Type,Walk Score,Year Built,Preference
70,3 level w/ocean views,https://www.zolo.ca/white-rock-real-estate/14458-blackburn-crescent,"14458 Blackburn Crescent, White Rock, BC",White Rock,4749800.0,5 bed,7 bath,7381 sqft,2019,2020-03-31,White Rock,643.5171385991058,"151 (Nov 1, 2019)",9457 sqft,7381 sqft,2 Storey w/Bsmt.,"$13,360 /yr",House/Single Family,37,2019,
71,17 and 18 fairway/tee,https://www.zolo.ca/surrey-real-estate/3570-morgan-creek-way,"3570 Morgan Creek Way, Surrey, BC",Morgan Creek,3188000.0,5 bed,6 bath,4880 sqft,2019,2020-03-31,Surrey,653.2786885245903,"24 (Mar 6, 2020)",10075 sqft,4880 sqft,2 Storey w/Bsmt.,"$6,631 /yr",House/Single Family,9,2019,
72,water &amp; mountains,https://www.zolo.ca/richmond-real-estate/3131-williams-road,"3131 Williams Road, Richmond, BC",Seafair,3288888.0,6 bed,8 bath,4895 sqft,2019,2020-03-31,Richmond,671.8872318692544,"101 (Dec 20, 2019)",7012 sqft,4895 sqft,3 Storey,"$5,975 /yr",House/Single Family,19,2019,
73,ocean view,https://www.zolo.ca/white-rock-real-estate/14020-marine-drive,"14020 Marine Drive, White Rock, BC",White Rock,4988000.0,5 bed,6 bath,7322 sqft,2019,2020-03-31,White Rock,681.234635345534,"175 (Oct 7, 2019)",13939 sqft,7322 sqft,3 Storey,"$15,314 /yr",House/Single Family,44,2019,
74,ocean view,https://www.zolo.ca/surrey-real-estate/1309-129a-street,"1309 129a Street, Surrey, BC",Crescent Bch Ocean Pk.,2298000.0,4 bed,5 bath,3308 sqft,2014,2020-03-31,Surrey,694.6795646916565,"78 (Jan 13, 2020)",5000 sqft,3308 sqft,"2 Storey w/Bsmt., Reverse 2 Storey w/Bsmt","$5,896 /yr",House/Single Family,45,2014,
75,fraser river view from top,https://www.zolo.ca/vancouver-real-estate/2031-harrison-drive,"2031 Harrison Drive, Vancouver, BC",Fraserview VE,3799990.0,7 bed,8 bath,5373 sqft,2018,2020-03-31,Vancouver,707.2380420621628,"116 (Dec 5, 2019)",6810 sqft,5373 sqft,2 Storey w/Bsmt.,"$7,602 /yr",House/Single Family,50,2018,
76,mountain view,https://www.zolo.ca/vancouver-real-estate/6415-commercial-street,"6415 Commercial Street, Vancouver, BC",Killarney VE,2398000.0,8 bed,7 bath,3376 sqft,2020,2020-03-31,Vancouver,710.3080568720378,"75 (Jan 15, 2020)",3743 sqft,3376 sqft,"Laneway House, 3 Storey w/Bsmt","$4,950 /yr",House/Single Family,81,2020,
77,peekaboo mountain view,https://www.zolo.ca/richmond-real-estate/7551-francis-road,"7551 Francis Road, Richmond, BC",Broadmoor,2780000.0,5 bed,6 bath,3875 sqft,2018,2020-03-31,Richmond,717.4193548387095,"82 (Jan 9, 2020)",8460 sqft,3875 sqft,2 Storey,"$8,631 /yr",House/Single Family,34,2018,
78,panoramic ocean &amp; sunset views,https://www.zolo.ca/white-rock-real-estate/14857-buena-vista-avenue,"14857 Buena Vista Avenue, White Rock, BC",White Rock,2498000.0,4 bed,5 bath,3390 sqft,2019,2020-03-31,White Rock,736.8731563421829,"160 (Oct 22, 2019)",4271 sqft,3390 sqft,3 Storey,"$5,870 /yr",House/Single Family,77,2019,
79,southern,https://www.zolo.ca/vancouver-real-estate/2488-southeast-marine-drive,"2488 Marine Drive SE, Vancouver, BC",,2488800.0,9 bed,6 bath,3363 sqft,2015,2020-03-31,Vancouver,740.0535236396075,"27 (Mar 4, 2020)",4294 sqft,3363 sqft,2 Storey w/Bsmt.,"$4,738 /yr",House/Single Family,30,2015,
80,mountain views,https://www.zolo.ca/vancouver-real-estate/5204-chester-street,"5204 Chester Street, Vancouver, BC",Fraser VE,2330000.0,6 bed,7 bath,3142 sqft,2018,2020-03-31,Vancouver,741.565881604074,"18 (Mar 13, 2020)",3630 sqft,3142 sqft,"2 Storey w/Bsmt., Laneway House","$6,413 /yr",House/Single Family,74,2018,
81,golf course,https://www.zolo.ca/delta-real-estate/1190-jackson-way,"1190 Jackson Way, Delta, BC",Tsawwassen East,2298800.0,4 bed,4 bath,3037 sqft,2018,2020-03-31,Delta,756.9311820875864,"8 (Mar 22, 2020)",6834 sqft,3037 sqft,2 Storey,"$5,472 /yr",House/Single Family,68,2018,
82,panoramic ocean view,https://www.zolo.ca/white-rock-real-estate/1020-balsam-street,"1020 Balsam Street, White Rock, BC",White Rock,4290000.0,4 bed,6 bath,5614 sqft,2017,2020-03-31,White Rock,764.1610260064125,"178 (Oct 4, 2019)",7200 sqft,5614 sqft,2 Storey w/Bsmt.,"$11,316 /yr",House/Single Family,63,2017,
83,mountain from master deck,https://www.zolo.ca/richmond-real-estate/7988-bowen-gate,"7988 Bowen Gate, Richmond, BC",Quilchena RI,2898000.0,5 bed,6 bath,3688 sqft,2019,2020-03-31,Richmond,785.7917570498915,"78 (Jan 13, 2020)",8401 sqft,3688 sqft,2 Storey,"$4,838 /yr",House/Single Family,28,2019,
84,mountain,https://www.zolo.ca/richmond-real-estate/5751-riverdale-drive,"5751 Riverdale Drive, Richmond, BC",Riverdale RI,2986000.0,5 bed,6 bath,3772 sqft,2012,2020-03-31,Richmond,791.6224814422059,"145 (Nov 6, 2019)",8409 sqft,3772 sqft,2 Storey,"$9,024 /yr",House/Single Family,46,2012,
85,stunning ocean views,https://www.zolo.ca/white-rock-real-estate/1148-johnston-road/2,"2-1148 Johnston Road, White Rock, BC",White Rock,2658000.0,3 bed,3 bath,3340 sqft,2019,2020-03-31,White Rock,795.8083832335328,"68 (Jan 22, 2020)",No Data,3340 sqft,"3 Storey, Penthouse",No Data,Townhouse,90,2019,
86,mountains,https://www.zolo.ca/vancouver-real-estate/886-east-king-edward-avenue,"886 King Edward Avenue E, Vancouver, BC",Fraser VE,3188000.0,10 bed,8 bath,3964 sqft,2016,2020-03-31,Vancouver,804.2381432896065,"6 (Mar 24, 2020)",4524 sqft,3964 sqft,"2 Storey w/Bsmt., Laneway House","$6,325 /yr",House/Single Family,74,2016,
87,north mountain,https://www.zolo.ca/richmond-real-estate/2471-mcleod-avenue,"2471 Mcleod Avenue, Richmond, BC",Bridgeport RI,2500000.0,5 bed,5 bath,3100 sqft,2012,2020-03-31,Richmond,806.4516129032259,"145 (Nov 7, 2019)",6180 sqft,3100 sqft,"2 Storey, 2 Storey w/Bsmt.","$4,815 /yr",House/Single Family,62,2012,
88,green belt,https://www.zolo.ca/richmond-real-estate/10560-rosebrook-road,"10560 Rosebrook Road, Richmond, BC",South Arm,2980000.0,5 bed,6 bath,3676 sqft,2019,2020-03-31,Richmond,810.6637649619151,"123 (Nov 29, 2019)",8103 sqft,3676 sqft,2 Storey,"$6,071 /yr",House/Single Family,24,2019,
89,"partial ocean, city and mnt",https://www.zolo.ca/vancouver-real-estate/3004-west-king-edward-avenue,"3004 King Edward Avenue W, Vancouver, BC",MacKenzie Heights,3800000.0,8 bed,7 bath,4547 sqft,2018,2020-03-31,Vancouver,835.715856608753,"1 (Mar 30, 2020)",7815 sqft,4547 sqft,2 Storey w/Bsmt.,"$14,746 /yr",House/Single Family,47,2018,
90,river,https://www.zolo.ca/richmond-real-estate/10875-springmont-gate,"10875 Springmont Gate, Richmond, BC",Steveston North,2598000.0,5 bed,5 bath,3104 sqft,2016,2020-03-31,Richmond,836.9845360824742,"81 (Jan 9, 2020)",6000 sqft,3104 sqft,2 Storey,"$6,354 /yr",House/Single Family,30,2016,
91,ocean view - m. baker,https://www.zolo.ca/white-rock-real-estate/14439-magdalen-avenue,"14439 Magdalen Avenue, White Rock, BC",White Rock,3388800.0,5 bed,6 bath,4037 sqft,2020,2020-03-31,White Rock,839.4352241763686,"40 (Feb 20, 2020)",6012 sqft,4037 sqft,"2 Storey w/Bsmt., 3 Storey","$7,304 /yr",House/Single Family,35,2020,
92,ocean,https://www.zolo.ca/richmond-real-estate/10777-springmont-drive,"10777 Springmont Drive, Richmond, BC",Steveston North,3680000.0,6 bed,7 bath,4337 sqft,2016,2020-03-31,Richmond,848.5127968641917,"335 (May 1, 2019)",7002 sqft,4337 sqft,3 Storey,"$6,683 /yr",House/Single Family,25,2016,
93,farmland,https://www.zolo.ca/richmond-real-estate/7640-steveston-highway,"7640 Steveston Highway, Richmond, BC",Gilmore,5800000.0,5 bed,7 bath,6605 sqft,2019,2020-03-31,Richmond,878.1226343679032,"111 (Dec 10, 2019)",64860 sqft,6605 sqft,"2 Storey, Rancher/Bungalow","$7,678 /yr",House with Acreage,32,2019,
94,mountain view from upfloor,https://www.zolo.ca/vancouver-real-estate/460-west-45th-avenue,"460 45th Avenue W, Vancouver, BC",Oakridge VW,4488000.0,11 bed,11 bath,5109 sqft,2012,2020-03-31,Vancouver,878.4497944803287,"174 (Oct 8, 2019)",8320.52 sqft,5109 sqft,2 Storey w/Bsmt.,"$17,829 /yr",House/Single Family,88,2012,
95,panoramic ocean views,https://www.zolo.ca/white-rock-real-estate/14489-marine-drive,"14489 Marine Drive, White Rock, BC",White Rock,5300000.0,6 bed,7 bath,5830 sqft,2020,2020-03-31,White Rock,909.0909090909092,"20 (Mar 11, 2020)",6945 sqft,5830 sqft,3 Storey,"$9,769 /yr",House/Single Family,26,2020,
96,"full mountain view, park view",https://www.zolo.ca/richmond-real-estate/6431-chelmsford-street,"6431 Chelmsford Street, Richmond, BC",Granville,3288000.0,5 bed,6 bath,3604 sqft,2018,2020-03-31,Richmond,912.3196448390677,"18 (Mar 12, 2020)",7600 sqft,3604 sqft,2 Storey,"$8,520 /yr",House/Single Family,57,2018,
97,"mountain, park",https://www.zolo.ca/richmond-real-estate/7331-bates-road,"7331 Bates Road, Richmond, BC",Broadmoor,3180000.0,5 bed,6 bath,3425 sqft,2013,2020-03-31,Richmond,928.4671532846717,"243 (Aug 1, 2019)",7260 sqft,3425 sqft,2 Storey,"$7,757 /yr",House/Single Family,52,2013,
98,"ocean, beach, mountains, bay",https://www.zolo.ca/tsawwassen-real-estate/6788-corbould-road,"6788 Corbould Road, Tsawwassen, BC",Boundary Beach,3499900.0,5 bed,6 bath,3753 sqft,2019,2020-03-31,Tsawwassen,932.560618172129,"140 (Nov 12, 2019)",7007 sqft,3753 sqft,2 Storey w/Bsmt.,"$12,233 /yr",House/Single Family,10,2019,
99,mountain,https://www.zolo.ca/vancouver-real-estate/3120-west-19-avenue,"3120 19 Avenue W, Vancouver, BC",Arbutus,3880000.0,5 bed,6 bath,4143 sqft,2013,2020-03-31,Vancouver,936.5194303644702,"15 (Mar 16, 2020)",6100 sqft,4143 sqft,2 Storey w/Bsmt.,"$13,459 /yr",House/Single Family,61,2013,
100,ocean &amp; mountain,https://www.zolo.ca/richmond-real-estate/5151-brighouse-way/102,"102-5151 Brighouse Way, Richmond, BC",Brighouse,3690000.0,4 bed,5 bath,3885 sqft,2013,2020-03-31,Richmond,949.8069498069498,"63 (Jan 27, 2020)",,3885 sqft,3 Storey,"$17,336 /yr",Apartment/Condo,61,2013,
101,n/a,https://www.zolo.ca/richmond-real-estate/6811-gibbons-drive,"6811 Gibbons Drive, Richmond, BC",Riverdale RI,3998000.0,5 bed,7 bath,4161 sqft,2018,2020-03-31,Richmond,960.8267243451094,"83 (Jan 7, 2020)",9444 sqft,4161 sqft,2 Storey,"$8,570 /yr",House/Single Family,36,2018,
102,school yard,https://www.zolo.ca/richmond-real-estate/8180-sunnywood-drive,"8180 Sunnywood Drive, Richmond, BC",Broadmoor,3588000.0,6 bed,6 bath,3700 sqft,2015,2020-03-31,Richmond,969.7297297297296,"119 (Dec 2, 2019)",7448.6 sqft,3700 sqft,2 Storey,"$11,380 /yr",House/Single Family,45,2015,
103,park,https://www.zolo.ca/richmond-real-estate/7620-reeder-road,"7620 Reeder Road, Richmond, BC",Broadmoor,3580000.0,5 bed,6 bath,3501 sqft,2019,2020-03-31,Richmond,1022.564981433876,"104 (Dec 18, 2019)",7600 sqft,3501 sqft,2 Storey,"$7,362 /yr",House/Single Family,50,2019,
104,mountain,https://www.zolo.ca/richmond-real-estate/5260-lancing-road,"5260 Lancing Road, Richmond, BC",Granville,4680000.0,5 bed,6 bath,4437 sqft,2020,2020-03-31,Richmond,1054.7667342799189,"74 (Jan 16, 2020)",10789 sqft,4437 sqft,2 Storey,"$5,802 /yr",House/Single Family,35,2020,
105,panoramin mtn &amp; water view,https://www.zolo.ca/richmond-real-estate/5131-brighouse-way/101,"101-5131 Brighouse Way, Richmond, BC",Brighouse,3980000.0,4 bed,5 bath,3688 sqft,2013,2020-03-31,Richmond,1079.1757049891542,"1 (Mar 30, 2020)",No Data,3688 sqft,"2 Storey w/Bsmt., End Unit","$19,481 /yr",Townhouse,55,2013,
106,golf course,https://www.zolo.ca/richmond-real-estate/3011-blundell-road,"3011 Blundell Road, Richmond, BC",Quilchena RI,3990000.0,4 bed,6 bath,3572 sqft,2018,2020-03-31,Richmond,1117.021276595745,"189 (Sep 23, 2019)",7739 sqft,3572 sqft,2 Storey,"$8,492 /yr",House/Single Family,14,2018,
107,mountain,https://www.zolo.ca/vancouver-real-estate/2887-west-39th-avenue,"2887 39th Avenue W, Vancouver, BC",Kerrisdale,4899000.0,6 bed,6 bath,4370 sqft,2018,2020-03-31,Vancouver,1121.0526315789473,"350 (Apr 16, 2019)",7273.75 sqft,4370 sqft,3 Storey,"$11,112 /yr",House/Single Family,72,2018,
108,mountain,https://www.zolo.ca/richmond-real-estate/5840-forsyth-crescent,"5840 Forsyth Crescent, Richmond, BC",Riverdale RI,4980000.0,5 bed,6 bath,4377 sqft,2017,2020-03-31,Richmond,1137.7655928718302,"84 (Jan 6, 2020)",10058 sqft,4377 sqft,2 Storey,"$11,038 /yr",House/Single Family,63,2017,
109,unobstructed water &amp; mtn,https://www.zolo.ca/richmond-real-estate/5131-brighouse-way/302,"302-5131 Brighouse Way, Richmond, BC",Brighouse,3888000.0,4 bed,5 bath,3380 sqft,2013,2020-03-31,Richmond,1150.2958579881654,"276 (Jun 28, 2019)",,3380 sqft,2 Storey,"$11,005 /yr",Apartment/Condo,55,2013,
110,mountain and city,https://www.zolo.ca/vancouver-real-estate/4729-haggart-street,"4729 Haggart Street, Vancouver, BC",Quilchena,5570000.0,5 bed,7 bath,4635 sqft,2013,2020-03-31,Vancouver,1201.7259978425027,"207 (Sep 6, 2019)",7525.02 sqft,4635 sqft,2 Storey w/Bsmt.,"$22,049 /yr",House/Single Family,55,2013,
111,city &amp; peak-a-boo water,https://www.zolo.ca/vancouver-real-estate/4568-west-w-8th-avenue/8th,"8TH-4568 W 8th Avenue W, Vancouver, BC",Point Grey,4788000.0,5 bed,6 bath,3962 sqft,2018,2020-03-31,Vancouver,1208.4805653710248,"20 (Mar 10, 2020)",5085.85 sqft,3962 sqft,"2 Storey w/Bsmt., Laneway House","$17,680 /yr",House/Single Family,62,2018,
112,mountains,https://www.zolo.ca/vancouver-real-estate/4649-west-15th-avenue,"4649 15th Avenue W, Vancouver, BC",Point Grey,4478000.0,7 bed,9 bath,3655 sqft,2020,2020-03-31,Vancouver,1225.1709986320109,"56 (Feb 4, 2020)",4097 sqft,3655 sqft,"2 Storey w/Bsmt., Laneway House","$7,855 /yr",House/Single Family,70,2020,
113,rooftop view of ocean and city,https://www.zolo.ca/vancouver-real-estate/4205-west-12th-avenue,"4205 12th Avenue W, Vancouver, BC",Point Grey,4388000.0,8 bed,8 bath,3536 sqft,2017,2020-03-31,Vancouver,1240.950226244344,"105 (Dec 16, 2019)",4026 sqft,3536 sqft,2 Storey w/Bsmt.,"$10,840 /yr",House/Single Family,55,2017,
114,mountain,https://www.zolo.ca/vancouver-real-estate/3528-west-27th-avenue,"3528 27th Avenue W, Vancouver, BC",Dunbar,5680000.0,6 bed,7 bath,4541 sqft,2018,2020-03-31,Vancouver,1250.8258092931073,"60 (Jan 30, 2020)",6501 sqft,4541 sqft,2 Storey w/Bsmt.,"$13,829 /yr",House/Single Family,81,2018,
115,city and mountain,https://www.zolo.ca/vancouver-real-estate/4028-west-11th-avenue,"4028 11th Avenue W, Vancouver, BC",Point Grey,4683000.0,5 bed,6 bath,3653 sqft,2015,2020-03-31,Vancouver,1281.9600328497127,"88 (Jan 3, 2020)",5490 sqft,3653 sqft,2 Storey w/Bsmt.,"$18,631 /yr",House/Single Family,58,2015,
116,city view,https://www.zolo.ca/vancouver-real-estate/7187-cypress-street,"7187 Cypress Street, Vancouver, BC",Kerrisdale,6880000.0,6 bed,8 bath,5354 sqft,2017,2020-03-31,Vancouver,1285.0205453866267,"118 (Dec 3, 2019)",8251 sqft,5354 sqft,3 Storey w/Bsmt,"$17,628 /yr",House/Single Family,49,2017,
117,park green space and mountain,https://www.zolo.ca/richmond-real-estate/7531-sunnybank-avenue,"7531 Sunnybank Avenue, Richmond, BC",Broadmoor,5990000.0,5 bed,6 bath,4620 sqft,2016,2020-03-31,Richmond,1296.5367965367966,"159 (Oct 23, 2019)",9028 sqft,4620 sqft,2 Storey,"$11,407 /yr",House/Single Family,43,2016,
118,mountain &amp; city view,https://www.zolo.ca/vancouver-real-estate/1857-west-35th-avenue,"1857 35th Avenue W, Vancouver, BC",Quilchena,6260000.0,6 bed,7 bath,4803 sqft,2012,2020-03-31,Vancouver,1303.3520716219032,"35 (Feb 24, 2020)",6960 sqft,4803 sqft,2 Storey w/Bsmt.,"$24,568 /yr",House/Single Family,65,2012,
119,water,https://www.zolo.ca/vancouver-real-estate/3893-west-34th-avenue,"3893 34th Avenue W, Vancouver, BC",Dunbar,6080000.0,5 bed,7 bath,4605 sqft,2013,2020-03-31,Vancouver,1320.3040173724212,"321 (May 14, 2019)",6513 sqft,4605 sqft,2 Storey w/Bsmt.,"$15,856 /yr",House/Single Family,64,2013,
120,"city, mountain view",https://www.zolo.ca/vancouver-real-estate/4626-west-12th-avenue,"4626 12th Avenue W, Vancouver, BC",Point Grey,6390000.0,7 bed,7 bath,4808 sqft,2019,2020-03-31,Vancouver,1329.0349417637274,"117 (Dec 4, 2019)",5729 sqft,4808 sqft,2 Storey w/Bsmt.,"$11,722 /yr",House/Single Family,81,2019,
121,grouse mountain,https://www.zolo.ca/vancouver-real-estate/4810-osler-street,"4810 Osler Street, Vancouver, BC",Shaughnessy,6990000.0,4 bed,6 bath,5174 sqft,2015,2020-03-31,Vancouver,1350.985697719366,"238 (Aug 6, 2019)",7772 sqft,5174 sqft,2 Storey w/Bsmt.,"$21,471 /yr",House/Single Family,62,2015,
122,"city, mountain &amp; ocean",https://www.zolo.ca/vancouver-real-estate/1460-mcrae-avenue,"1460 Mcrae Avenue, Vancouver, BC",Shaughnessy,6075000.0,3 bed,4 bath,4494 sqft,2012,2020-03-31,Vancouver,1351.8024032042724,"139 (Nov 12, 2019)",No Data,4494 sqft,"3 Storey, End Unit","$25,203 /yr",Townhouse,91,2012,
123,"sweeping mountains, downtown",https://www.zolo.ca/vancouver-real-estate/2588-edgar-crescent,"2588 Edgar Crescent, Vancouver, BC",Quilchena,6380000.0,4 bed,6 bath,4668 sqft,2012,2020-03-31,Vancouver,1366.75235646958,"56 (Feb 3, 2020)",6883.26 sqft,4668 sqft,2 Storey w/Bsmt.,"$23,027 /yr",House/Single Family,51,2012,
124,overlooks douglas park,https://www.zolo.ca/vancouver-real-estate/782-west-22nd-avenue,"782 22nd Avenue W, Vancouver, BC",Cambie,4980000.0,5 bed,6 bath,3600 sqft,2015,2020-03-31,Vancouver,1383.333333333333,"17 (Mar 13, 2020)",5246 sqft,3600 sqft,2 Storey w/Bsmt.,"$15,576 /yr",House/Single Family,77,2015,
125,--,https://www.zolo.ca/vancouver-real-estate/3635-west-20th-avenue,"3635 20th Avenue W, Vancouver, BC",Dunbar,4388000.0,5 bed,7 bath,3140 sqft,2019,2020-03-31,Vancouver,1397.4522292993631,"41 (Feb 19, 2020)",4026 sqft,3140 sqft,2 Storey w/Bsmt.,"$8,293 /yr",House/Single Family,78,2019,
126,mountain city,https://www.zolo.ca/vancouver-real-estate/2350-west-19th-avenue,"2350 19th Avenue W, Vancouver, BC",Arbutus,5878000.0,5 bed,7 bath,4206 sqft,2020,2020-03-31,Vancouver,1397.5273418925344,"88 (Jan 2, 2020)",6100 sqft,4206 sqft,2 Storey w/Bsmt.,"$13,798 /yr",House/Single Family,65,2020,
127,"mountain, city, water",https://www.zolo.ca/vancouver-real-estate/3875-west-14th-avenue,"3875 14th Avenue W, Vancouver, BC",Point Grey,5590000.0,6 bed,7 bath,3989 sqft,2018,2020-03-31,Vancouver,1401.3537227375284,"112 (Dec 9, 2019)",5755 sqft,3989 sqft,2 Storey w/Bsmt.,"$19,942 /yr",House/Single Family,74,2018,
128,mountain and city,https://www.zolo.ca/vancouver-real-estate/4629-haggart-street,"4629 Haggart Street, Vancouver, BC",Quilchena,6988000.0,6 bed,7 bath,4936 sqft,2018,2020-03-31,Vancouver,1415.7212317666126,"203 (Sep 10, 2019)",8443.39 sqft,4936 sqft,2 Storey w/Bsmt.,"$23,680 /yr",House/Single Family,63,2018,
129,"mountain, water, downtown",https://www.zolo.ca/vancouver-real-estate/3275-west-22nd-avenue,"3275 22nd Avenue W, Vancouver, BC",Dunbar,4888000.0,4 bed,6 bath,3443 sqft,2019,2020-03-31,Vancouver,1419.6921289573047,"47 (Feb 13, 2020)",5379 sqft,3443 sqft,2 Storey w/Bsmt.,"$12,565 /yr",House/Single Family,67,2019,
130,peek-a-boo mountain views,https://www.zolo.ca/vancouver-real-estate/4519-west-12th-avenue,"4519 12th Avenue W, Vancouver, BC",Point Grey,6880000.0,5 bed,8 bath,4780 sqft,2020,2020-03-31,Vancouver,1439.3305439330545,"108 (Dec 13, 2019)",6035 sqft,4780 sqft,"2 Storey w/Bsmt., Laneway House","$15,192 /yr",House/Single Family,59,2020,
131,"water, mountain and city",https://www.zolo.ca/vancouver-real-estate/3708-west-24th-avenue,"3708 24th Avenue W, Vancouver, BC",Dunbar,4691000.0,4 bed,5 bath,3189 sqft,2017,2020-03-31,Vancouver,1470.9940420194418,"29 (Mar 2, 2020)",4539.41 sqft,3189 sqft,2 Storey w/Bsmt.,"$10,952 /yr",House/Single Family,70,2017,
132,city &amp; mountain,https://www.zolo.ca/vancouver-real-estate/3011-west-27th-avenue,"3011 27th Avenue W, Vancouver, BC",MacKenzie Heights,5880000.0,5 bed,5 bath,3945 sqft,2016,2020-03-31,Vancouver,1490.4942965779467,"147 (Nov 4, 2019)",6472 sqft,3945 sqft,2 Storey w/Bsmt.,"$18,870 /yr",House/Single Family,50,2016,
133,amazing city and mountain view,https://www.zolo.ca/vancouver-real-estate/4775-blenheim-street,"4775 Blenheim Street, Vancouver, BC",Dunbar,5580000.0,4 bed,5 bath,3708 sqft,2019,2020-03-31,Vancouver,1504.8543689320388,"69 (Jan 22, 2020)",5311 sqft,3708 sqft,2 Storey w/Bsmt.,"$7,732 /yr",House/Single Family,61,2019,
134,mountains,https://www.zolo.ca/vancouver-real-estate/3455-west-28th-avenue,"3455 28th Avenue W, Vancouver, BC",Dunbar,4588000.0,4 bed,5 bath,3041 sqft,2018,2020-03-31,Vancouver,1508.7142387372573,"81 (Jan 10, 2020)",4290 sqft,3041 sqft,2 Storey w/Bsmt.,"$8,365 /yr",House/Single Family,70,2018,
135,"city, mountain",https://www.zolo.ca/vancouver-real-estate/4025-west-38th-avenue,"4025 38th Avenue W, Vancouver, BC",Dunbar,6380000.0,6 bed,6 bath,4128 sqft,2020,2020-03-31,Vancouver,1545.5426356589148,"81 (Jan 9, 2020)",6900 sqft,4128 sqft,3 Storey,"$12,510 /yr",House/Single Family,44,2020,
136,mountain,https://www.zolo.ca/vancouver-real-estate/2399-west-35th-avenue,"2399 35th Avenue W, Vancouver, BC",Quilchena,7280000.0,6 bed,7 bath,4673 sqft,2019,2020-03-31,Vancouver,1557.8857265140164,"74 (Jan 16, 2020)",7800 sqft,4673 sqft,2 Storey w/Bsmt.,"$12,694 /yr",House/Single Family,75,2019,
137,city &amp; mountain,https://www.zolo.ca/vancouver-real-estate/3883-west-21st-avenue,"3883 21st Avenue W, Vancouver, BC",Dunbar,7388000.0,6 bed,7 bath,4639 sqft,2017,2020-03-31,Vancouver,1592.5846087518862,"175 (Oct 7, 2019)",6716.05 sqft,4639 sqft,2 Storey w/Bsmt.,"$18,589 /yr",House/Single Family,62,2017,
138,"mountains, city &amp; water",https://www.zolo.ca/vancouver-real-estate/3863-west-20th-avenue,"3863 20th Avenue W, Vancouver, BC",Dunbar,5980000.0,4 bed,5 bath,3585 sqft,2020,2020-03-31,Vancouver,1668.0613668061367,"28 (Mar 3, 2020)",5124 sqft,3585 sqft,2 Storey w/Bsmt.,"$8,946 /yr",House/Single Family,67,2020,
139,mountain,https://www.zolo.ca/vancouver-real-estate/4261-west-13th-avenue,"4261 13th Avenue W, Vancouver, BC",Point Grey,7688000.0,5 bed,7 bath,4337 sqft,2017,2020-03-31,Vancouver,1772.6539082314966,"24 (Mar 6, 2020)",6710 sqft,4337 sqft,2 Storey w/Bsmt.,"$22,448 /yr",House/Single Family,57,2017,
140,false creek &amp; downtown,https://www.zolo.ca/vancouver-real-estate/499-pacific-street/1701,"1701-499 Pacific Street, Vancouver, BC",Yaletown,6990000.0,3 bed,1 bath,3294 sqft,2018,2020-03-31,Vancouver,2122.0400728597447,"19 (Mar 12, 2020)",,3294 sqft,Split Entry,"$27,827 /yr",Apartment/Condo,92,2018,
